Title,URL,Last Updated,Summary,Text_For_Model,bart_team,bart_score,bart_margin,bart_final,review_flag
Create a UK catch certificate,https://www.gov.uk/guidance/create-a-uk-catch-certificate,2 July 2025,"Create a UK catch certificate Use the Fish Export Service to create a UK catch certificate for fish and shellfish caught by UK flagged vessels for export. To create a catch certificate, you’ll need to register on the Fish Export Service. You’ll need a separate catch certificate for each export. The certificate allows you to export fishery products to: the EU Iceland Ivory Coast Japan (required for mackerel, sardines, pacific saury, squid and cuttlefish) Kuwait Madagascar Norway Thailand Tunisia Ukraine It also allows you to export to any other country if all or part of the product will return to the UK or go to the EU. Some fish and shellfish are excluded from the definition of ‘fishery products’ and do not need a UK catch certificate for export. If you land fish directly into EU ports , you’ll also need to complete: a prior notification form a pre-landing declaration the NEAFC Port-State Control forms Register for a UK catch certificate If you have registered your business for another Department for Environment, Food and Rural Affairs ( Defra ) service, you can register for the Fish Export Service by signing into your service. Go to your ‘manage account’ screen and register on the Fish Export Service by using the ‘register for more services’ button. Before starting registration, decide who is the responsible person to register your business. You can use an existing Government Gateway account or create a new one. Each person must have a Government Gateway account that is personal to them. Do not share Gateway accounts. If you’re the first person to register the business you automatically become the administrator for that business. You’ll then have permission to invite and remove other team members. Make sure that you allocate at least one other team member to an administrator account role so you can share the account management. Registration guides Find out how to register a business for the Fish Export Service. What you’ll need To create a UK catch certificate, you","Create a UK catch certificate Create a UK catch certificate Use the Fish Export Service to create a UK catch certificate for fish and shellfish caught by UK flagged vessels for export To create a catch certificate, you’ll need to register on the Fish Export Service You’ll need a separate catch certificate for each export Some fish and shellfish are excluded from the definition of ‘fishery products’ and do not need a UK catch certificate for export If you land fish directly into EU ports , you’ll also need to complete: a prior notification form a pre-landing declaration the NEAFC Port-State Control forms Register for a UK catch certificate If you have registered your business for another Department for Environment, Food and Rural Affairs ( Defra ) service, you can register for the Fish Export Service by signing into your service Each person must have a Government Gateway account that is personal to them Registration guides Find out how to register a business for the Fish Export Service What you’ll need To create a UK catch certificate, you",FDST,0.20779696,0.08868373,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Fishing vessel licence variations,https://www.gov.uk/government/publications/fishing-vessel-licence-variations,27 November 2025,Fishing vessel licence variations The variation effective from 00:01hrs Wednesday 21 January 2026 Documents Variation issued: Wednesday 21 January 2026 Variation issued: Thursday 01 January 2026 Variation issued: Thursday 18 December 2025 Variation issued: Monday 01 December 2025 Variation issued: Monday 17 November 2025 Variation issued: Sunday 19 October 2025 Variation issued: Wednesday 01 October 2025 Variation issued: Monday 01 September 2025 Variation issued: Saturday 23 August 2025 Variation issued: Wednesday 30 July 2025 Variation issued: Sunday 20 July 2025 Variation issued: Saturday 12 July 2025 Variation issued: Tuesday 01 July 2025 Variation issued: Sunday 15 June 2025 Variation issued: Thursday 05 June 2025 Variation issued: Sunday 01 June 2025 Variation issued: Thursday 15 May 2025 Variation issued: Thursday 01 May 2025 Variation issued: Wednesday 16 April 2025 Variation issued: Tuesday 01 April 2025 Variation issued: Friday 28 March 2025 Variation issued: Sunday 16 March 2025 Variation issued: Saturday 01 March 2025 Variation issued: Sunday 23 February 2025 Variation issued: Sunday 26 January 2025 Variation issued: Sunday 19 January 2025 Variation issued: Wednesday 01 January 2025 Variation issued: Monday 16 December 2024 Variation issued: Sunday 01 December 2024 Variation issued: Sunday 17 November 2024 Variation issued: Friday 18 October 2024 Variation issued: Sunday 13 October 2024 Variation issued: Saturday 12 October 2024 Variation issued: Tuesday 01 October 2024 Variation issued: Sunday 15 September 2024 Variation issued: Sunday 01 September 2024 Variation issued: Sunday 25 August 2024 Variation issued: Thursday 01 August 2024 Variation issued: Friday 19 July 2024 Variation issued: Wednesday 17 July 2024 Variation issued: Monday 01 July 2024 Variation issued: Saturday 15 June 2024 Variation issued: Saturday 01 June 2024 Variation issued: Sunday 26 May 2024 Variation issued: Thursday 23 May 2024 Variation issued: Wednesday 15 May 2024 Variation is,Fishing vessel licence variations Fishing vessel licence variations The variation effective from 00:01hrs Wednesday 21 January 2026 Documents Variation issued: Wednesday 21 January 2026 Variation issued: Thursday 01 January 2026 Variation issued: Thursday 18 December 2025 Variation issued: Monday 01 December 2025 Variation issued: Monday 17 November 2025 Variation issued: Sunday 19 October 2025 Variation issued: Wednesday 01 October 2025 Variation issued: Monday 01 September 2025 Variation issued: Saturday 23 August 2025 Variation issued: Wednesday 30 July 2025 Variation issued: Sunday 20 July 2025 Variation issued: Saturday 12 July 2025 Variation issued: Tuesday 01 July 2025 Variation issued: Sunday 15 June 2025 Variation issued: Thursday 05 June 2025 Variation issued: Sunday 01 June 2025 Variation issued: Thursday 15 May 2025 Variation issued: Thursday 01 May 2025 Variation issued: Wednesday 16 April 2025 Variation issued: Tuesday 01 April 2025 Variation issued: Friday 28 March 2025 Variation issued: Sunday 16 March 2025 Variation issued: Saturday 01 March 2025 Variation issued: Sunday 23 February 2025 Variation issued: Sunday 26 January 2025 Variation issued: Sunday 19 January 2025 Variation issued: Wednesday 01 January 2025 Variation issued: Monday 16 December 2024 Variation issued: Sunday 01 December 2024 Variation issued: Sunday 17 November 2024 Variation issued: Friday 18 October 2024 Variation issued: Sunday 13 October 2024 Variation issued: Saturday 12 October 2024,Marine Licensing,0.28110656,0.01905647,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Get permission for marine work,https://www.gov.uk/guidance/get-permission-for-marine-work,18 November 2025,"Get permission for marine work Find out if your marine activity needs a licence, exemption or permission from another authority or organisation. Overview Many activities in and around the sea need permission from the Marine Management Organisation (MMO) before they can be carried out. The MMO is responsible for marine licensing in English waters, Northern Ireland offshore waters, and some activities in other parts of the world. Find out more about MMO’s jurisdiction . It’s your responsibility to check if you need permission from the MMO, or if an activity is exempt, before you start work. You also need to get permission from the MMO for a marine wildlife licence if your activity may kill, capture or disturb  protected species or habitats. Other organisations you may need to contact to get permission for marine work You may also need to get permission from other organisations for some marine work. These include: the Crown Estate, to apply for a Seabed Survey Licence the Environment Agency, to apply for an environmental permit if your activity involves discharging water or liquid waste, or to apply for a water abstraction licence your Local Planning Authority, to get planning permission if any part of your activity takes place on land Natural England, if your activity is on or near a site of special scientific interest the Planning Inspectorate (PINS), to apply for offshore energy consent if you’re generating energy offshore a Statutory Harbour Authority, to apply for a Harbour Order if your activity involves port developments How to get permission We’ll ask you a few questions about your activity to: check if you need permission from the MMO find out what type of permission you need explain how to apply for a marine licence or tell the MMO about your activity You’ll need to know: what your activity involves where it will take place how it will be carried out Start now Manage your previous marine work If you’ve started an application, sent a request, or told us about ","Get permission for marine work Get permission for marine work Find out if your marine activity needs a licence, exemption or permission from another authority or organisation Overview Many activities in and around the sea need permission from the Marine Management Organisation (MMO) before they can be carried out The MMO is responsible for marine licensing in English waters, Northern Ireland offshore waters, and some activities in other parts of the world Find out more about MMO’s jurisdiction It’s your responsibility to check if you need permission from the MMO, or if an activity is exempt, before you start work You also need to get permission from the MMO for a marine wildlife licence if your activity may kill, capture or disturb protected species or habitats Other organisations you may need to contact to get permission for marine work You may also need to get permission from other organisations for some marine work These include: the Crown Estate, to apply for a Seabed Survey Licence the Environment Agency, to apply for an environmental permit if your activity involves discharging water or liquid waste, or to apply for a water abstraction licence your Local Planning Authority, to get planning permission if any part of your activity takes place on land Natural England, if your activity is on or near a site of special scientific interest the Planning Inspectorate (PINS), to apply for offshore energy consent if you’re generating energy offshore a Statutory Harbour Authority,",Marine Licensing,0.32759273,0.13659133,Marine Licensing,OK
Marine licensing exempted activities,https://www.gov.uk/guidance/marine-licensing-exempted-activities,18 November 2025,"Contact the marine licensing team Contact details for all enquiries relating to marine licences Application enquiries If you are an existing applicant, please use the online system for all application-related enquiries. Support on using the online system can be provided by calling the Marine Management Organisation licensing team on 0191 376 2791 or emailing marine.consents@marinemanagement.org.uk Additional marine licensing contacts: Accelerated licensing for dredging: marine.consents@marinemanagement.org.uk Apply for a harbour order: harbourorders@marinemanagement.org.uk Understand marine wildlife licenses: conservation@marinemanagement.org.uk Noise and wind farm construction update: media@marinemanagement.org.uk MMO master data register: accesstoinformation@marinemanagement.org.uk Perform a marine geophysical or seismic survey: conservation@marinemanagement.org.uk Science and evidence: evidence@marinemanagement.org.uk South inshore and South offshore marine plan areas: planning@marinemanagement.org.uk For all general and non-licensing enquiries, please follow the links provided: Contact the MMO or follow us on social media using the details on our homepage MMO General Complaints procedure Freedom of Information (FOI) requests Updates to this page 28 November 2024 Banner update Banner update 19 December 2018 First published. First published.","Marine licensing exempted activities Contact the marine licensing team Contact details for all enquiries relating to marine licences Application enquiries If you are an existing applicant, please use the online system for all application-related enquiries Support on using the online system can be provided by calling the Marine Management Organisation licensing team on 0191 376 2791 or emailing marine.consents@marinemanagement.org.uk Additional marine licensing contacts: Accelerated licensing for dredging: marine.consents@marinemanagement.org.uk Apply for a harbour order: harbourorders@marinemanagement.org.uk Understand marine wildlife licenses: conservation@marinemanagement.org.uk Noise and wind farm construction update: media@marinemanagement.org.uk MMO master data register: accesstoinformation@marinemanagement.org.uk Perform a marine geophysical or seismic survey: conservation@marinemanagement.org.uk Science and evidence: evidence@marinemanagement.org.uk South inshore and South offshore marine plan areas: planning@marinemanagement.org.uk For all general and non-licensing enquiries, please follow the links provided: Contact the MMO or follow us on social media using the details on our homepage MMO General Complaints procedure Freedom of Information (FOI) requests Updates to this page 28 November 2024 Banner update Banner update 19 December 2018 First published",Marine Licensing,0.28182346,0.2127192,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates,https://www.gov.uk/guidance/eu-iuu-regulation-2026-changes,30 October 2025,"EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates New EU Illegal, Unreported, and Unregulated fishing (IUU) requirements mean that UK exporters now need to provide additional information on catch certificates and other IUU documents. The changes detailed below had been incorporated into the catch certificate application. Exporters of fishery products will now need to familiarise themselves with the updated requirements to ensure continued compliance and avoid delays or rejections at border control points. These changes became mandatory in January 2026 and remain in effect. New requirement: If you export products that have been caught by a UK vessel and processed in the UK after landing from January 2026, these consignments will require both a catch certificate AND a processing statement. Please see the guidance below for more information. During this initial period, the new fields were optional to complete. This phased approach was designed to give exporters time to become familiar with the information they would need to provide once the requirements became mandatory in January 2026. The new requirements are as follows: UK catch certificate and UK processing statements As of January 2026, if fish is landed in the UK and processed after landing, the consignment must be accompanied by a catch certificate for the landed weight being exported AND a processing statement referencing that catch certificate. This guidance has been published to help users comply with the change. You should familiarise yourself with this requirement to ensure ongoing compliance. The weight on the UK Catch Certificate must reflect the weight, state, and presentation of the fish being exported that was landed by the vessel. This does not need to be the total landed weight if only part of that landing is being exported. The accompanying processing statement must reference the catch certificate and the processed weight of the product being exported. New requirements ","EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates New EU Illegal, Unreported, and Unregulated fishing (IUU) requirements mean that UK exporters now need to provide additional information on catch certificates and other IUU documents The changes detailed below had been incorporated into the catch certificate application New requirement: If you export products that have been caught by a UK vessel and processed in the UK after landing from January 2026, these consignments will require both a catch certificate AND a processing statement This phased approach was designed to give exporters time to become familiar with the information they would need to provide once the requirements became mandatory in January 2026 The new requirements are as follows: UK catch certificate and UK processing statements As of January 2026, if fish is landed in the UK and processed after landing, the consignment must be accompanied by a catch certificate for the landed weight being exported AND a processing statement referencing that catch certificate The weight on the UK Catch Certificate must reflect the weight, state, and presentation of the fish being exported that was landed by the vessel This does not need to be the total landed weight if only part of that landing is being exported The accompanying processing statement must reference the catch certificate and the processed weight of the",IUU,0.34138995,0.18907282,IUU,OK
Fisheries and Seafood Scheme,https://www.gov.uk/guidance/fisheries-and-seafood-scheme,11 June 2025,"Fisheries and Seafood Scheme Information about the Fisheries and Seafood Scheme Applies to England Fisheries and Seafood Scheme Logo depicting scheme name and image of crab in blue lines Fisheries and Seafood Scheme 2025 closed following strong demand The latest round of the Fisheries and Seafood Scheme (FaSS) closes following high demand and interest from across the seafood and marine sectors. Applications submitted after 5pm on 25 July 2025 will not be considered. Find out more About the Fisheries and Seafood Scheme The Fisheries and Seafood Scheme (FaSS) is a Department for Environment, Food & Rural Affairs (Defra) grant scheme administered and delivered by Marine Management Organisation (MMO). The FaSS provides financial assistance to projects in England that would not be possible without government support. Aims of the Fisheries and Seafood Scheme The FaSS delivers investments to safeguard the long-term sustainability, resilience and prosperity of the seafood sector across England. It provides grants to support the Secretary of State’s key priorities for Defra by funding projects that contribute to: Creating a sustainable and resilient seafood sector Reducing emissions and waste from the seafood sector Cleaning up rivers, lakes and seas and support nature recovery Boosting regional and economic growth within the seafood sector FaSS Eligibility Measures FaSS offers a wide range of project funding measures within each aim. You can click on each measure to take you to the relevant guidance. The Fisheries and Seafood Scheme (FaSS), administered by MMO on behalf of Defra, delivers investments to safeguard the long-term sustainability, resilience and prosperity of the seafood sector across England. Since opening in 2021, the scheme has been incredibly successful with £35 million invested in over 1,700 projects supporting England’s catching, aquaculture and processing sectors, as well as projects that are improving the marine environment. This is the final year of the","Fisheries and Seafood Scheme Fisheries and Seafood Scheme Information about the Fisheries and Seafood Scheme Applies to England Fisheries and Seafood Scheme Logo depicting scheme name and image of crab in blue lines Fisheries and Seafood Scheme 2025 closed following strong demand The latest round of the Fisheries and Seafood Scheme (FaSS) closes following high demand and interest from across the seafood and marine sectors Find out more About the Fisheries and Seafood Scheme The Fisheries and Seafood Scheme (FaSS) is a Department for Environment, Food & Rural Affairs (Defra) grant scheme administered and delivered by Marine Management Organisation (MMO) The FaSS provides financial assistance to projects in England that would not be possible without government support Aims of the Fisheries and Seafood Scheme The FaSS delivers investments to safeguard the long-term sustainability, resilience and prosperity of the seafood sector across England It provides grants to support the Secretary of State’s key priorities for Defra by funding projects that contribute to: Creating a sustainable and resilient seafood sector Reducing emissions and waste from the seafood sector Cleaning up rivers, lakes and seas and support nature recovery Boosting regional and economic growth within the seafood sector FaSS Eligibility Measures FaSS offers a wide range of project funding measures within each aim You can click on each measure to take you to the relevant guidance The Fisheries and Seafood",Funding,0.2825336,0.004307568,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Create a UK processing statement,https://www.gov.uk/guidance/create-a-uk-processing-statement,15 April 2025,"Create a UK processing statement Use this service to create a UK processing statement for fish and shellfish that have been imported or landed directly into the UK for processing, ready for export. Processing Statement Updates - From 10 January 2026 The UK processing statement is being updated to reflect changes in EU regulations and UK export control requirements. You can find the latest updates here . If you use more than one processing plant for your export, you’ll need a separate processing statement for each plant. The statement, together with catch certificates from the vessels that caught the fish, allows you to export fishery products to the EU , Iceland, Ivory Coast, Kuwait, Madagascar, Norway, Thailand, Tunisia and Ukraine. It also allows you to export to any other country if all or part of the product will return to the UK or go to the EU. Some fish and shellfish are excluded from the definition of ‘fishery products’ and do not need a UK processing statement for export. What you need To create a processing statement, you’ll need: a Government Gateway user ID and password the company name and address of the exporter to say what is in the consignment (and include the EU tariff commodity codes) a health certificate number for the export the species, catch certificate number and total weight from each catch being used in the consignment the before and after processing weights of the export the name, address and plant approval number of the processing plant used (and the name of the person responsible for the consignment) Start now How to create a Processing Statement Before you start You need to get an export health certificate (EHC) for your export. Check the EU tariff commodity codes of your fishery products in the trade tariff . If you haven’t already, create Government Gateway sign in details for the business or organisation you represent. Defra service registrations need you to provide some extra details about yourself and the business (for example, the ","Create a UK processing statement Create a UK processing statement Use this service to create a UK processing statement for fish and shellfish that have been imported or landed directly into the UK for processing, ready for export Processing Statement Updates - From 10 January 2026 The UK processing statement is being updated to reflect changes in EU regulations and UK export control requirements If you use more than one processing plant for your export, you’ll need a separate processing statement for each plant The statement, together with catch certificates from the vessels that caught the fish, allows you to export fishery products to the EU , Iceland, Ivory Coast, Kuwait, Madagascar, Norway, Thailand, Tunisia and Ukraine It also allows you to export to any other country if all or part of the product will return to the UK or go to the EU Some fish and shellfish are excluded from the definition of ‘fishery products’ and do not need a UK processing statement for export What you need To create a processing statement, you’ll need: a Government Gateway user ID and password the company name and address of the exporter to say what is in the consignment (and include the EU tariff commodity codes) a health certificate number for the export the species, catch certificate number and total weight from each catch being used in the consignment the before and after processing weights of the export the name, address and plant approval number of the processing plant used (and the name of",Comms,0.21060418,0.12477379,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Marine licensing jurisdiction,https://www.gov.uk/guidance/marine-licensing-jurisdiction,18 November 2025,"Marine licensing jurisdiction Guidance on where marine licensing applies and what the key terms mean. Where marine licensing applies The Marine Management Organisation (MMO) is responsible for marine licensing in: English inshore and offshore waters Northern Ireland offshore waters The MMO is also responsible for certain activities carried out by British vessels, aircraft or structures anywhere in the world. Marine licensing can apply in tidal rivers, estuaries, near the coast, or out at sea. This guidance explains what we mean by ‘the sea’ and how tidal limits are defined. You can check if you need a marine licence before you apply . English waters English waters include: inshore waters – the sea within 12 nautical miles of the English coastline (the territorial limit) offshore waters – the sea beyond the territorial limit but within the English Exclusive Economic Zone (EEZ) and the UK sector of the continental shelf, up to 200 nautical miles from the coast English waters do not include waters belonging to Northern Ireland, Scotland or Wales. Northern Ireland offshore waters are the sea beyond 12 nautical miles from the Northern Ireland coastline. This area is designated as the Northern Ireland Exclusive Economic Zone (EEZ) and forms part of the UK sector of the continental shelf. These waters do not include waters belonging to Scotland, Wales or England. What we mean by the sea For marine licensing, ‘the sea’ means any area submerged at Mean High Water Springs (MHWS). It also includes: estuaries, rivers and channels where the tide flows at MHWS up to the Normal Tidal Limit enclosed waters, such as docks, where seawater can flow in or out, either permanently or occasionally, for example through a lock In or over the sea, on or under the seabed Marine licensing defines locations as: in the sea – any location within a relevant body of water over the sea – directly above or overhanging the sea, such as a bridge or cantilever on the seabed – the ground under the sea, i","Marine licensing jurisdiction Marine licensing jurisdiction Guidance on where marine licensing applies and what the key terms mean Where marine licensing applies The Marine Management Organisation (MMO) is responsible for marine licensing in: English inshore and offshore waters Northern Ireland offshore waters The MMO is also responsible for certain activities carried out by British vessels, aircraft or structures anywhere in the world Marine licensing can apply in tidal rivers, estuaries, near the coast, or out at sea This guidance explains what we mean by ‘the sea’ and how tidal limits are defined English waters English waters include: inshore waters – the sea within 12 nautical miles of the English coastline (the territorial limit) offshore waters – the sea beyond the territorial limit but within the English Exclusive Economic Zone (EEZ) and the UK sector of the continental shelf, up to 200 nautical miles from the coast English waters do not include waters belonging to Northern Ireland, Scotland or Wales Northern Ireland offshore waters are the sea beyond 12 nautical miles from the Northern Ireland coastline What we mean by the sea For marine licensing, ‘the sea’ means any area submerged at Mean High Water Springs (MHWS) It also includes: estuaries, rivers and channels where the tide flows at MHWS up to the Normal Tidal Limit enclosed waters, such as docks, where seawater can flow in or out, either permanently or occasionally, for example through a lock In or over the",Marine Licensing,0.49809346,0.40839306,Marine Licensing,OK
Make a marine licence application,https://www.gov.uk/guidance/make-a-marine-licence-application,28 November 2024,"Make a marine licence application Details of how to apply for a marine licence, what documents you need to provide, how much it costs and how long it will take To apply for a marine licence , register on MMO ’s online system and set up your online account. Overview A marine licence is required for many different types of activity . The Marine Management Organisation ( MMO ) is the licensing authority for England and for activities taking place from British vessels outside UK waters. We aim to make a decision on most applications within 13 weeks of an application being validated. However, each application is different and some applications will take longer than this, while others will take less time. Some low-risk activities may be eligible for self-service marine licensing and some low-volume dredging activities may be suitable for the accelerated licensing process . We recover the cost of marine licensing by charging fees to licence applicants . We strongly encourage you to speak with us before submitting an application. This is particularly important if your project is likely to: require an environmental impact assessment (EIA) need an assessment under the Habitats Regulations affect the status of a water body under the Water Framework Directive generate waste covered under the Waste Regulations We can advise you what information is required to support your application. This could include sampling and sediment analysis . Your application will not be progressed until the required information has been provided and your application may be rejected if it does not contain all the information needed. When you apply Our marine licence application timeline gives an overview of the whole application process from allocation through to approval and monitoring. To apply for a marine licence , register on MMO ’s online system and set up your online account. You can then use your online account to submit a marine licence application. You can also submit: submit an enquiry notif","Make a marine licence application Make a marine licence application Details of how to apply for a marine licence, what documents you need to provide, how much it costs and how long it will take To apply for a marine licence , register on MMO ’s online system and set up your online account Overview A marine licence is required for many different types of activity The Marine Management Organisation ( MMO ) is the licensing authority for England and for activities taking place from British vessels outside UK waters However, each application is different and some applications will take longer than this, while others will take less time We recover the cost of marine licensing by charging fees to licence applicants Your application will not be progressed until the required information has been provided and your application may be rejected if it does not contain all the information needed When you apply Our marine licence application timeline gives an overview of the whole application process from allocation through to approval and monitoring You can then use your online account to submit a marine licence application",Marine Licensing,0.41794127,0.3242714,Marine Licensing,OK
Record your catch,https://www.gov.uk/guidance/record-your-catch,9 October 2025,"Record your catch Create and submit catch records for all English and Welsh under 10 metre (U10m) flag vessels that fish in UK waters. Important Notice – Catch Recording Update We are aware of ongoing technical issues affecting the Record Your Catch app, which may cause the following issues for you: Problems signing in to the app or accessing vessel lists Catch records appearing with a status of ‘SENDING’ and not reaching the system Submitted records not appearing in the list of trips Duplicate records being generated Inconsistent confirmation messages within the mobile application Some users have received confirmation messages such as “Your catch record has been submitted” or “Your catch record has been recorded,” even when the record has not been successfully received. Please note that a catch record showing as ‘SENDING’ or not appearing in your trip list has not been delivered to the Marine Management Organisation (MMO). You can check whether your catch records have been submitted by looking at trips listed on the “Home” page of your account within the web service (see images below). Records will be listed by departure date. Features such as adding preferences, editing trips and viewing previous trips are only available on the web service. How to access the Catch Recording Web Service and view successfully submitted Catch Recordings If you encounter any of these issues, please take the following steps: Sign out of the mobile application using the icon in the top right corner. Sign back in while connected to a reliable mobile data or Wi-Fi connection. If you have a lot of stuck trips it may help to remain signed out for a few hours. Check whether your record has successfully submitted. If the issue persists, please use an alternative method to submit your catch record. The web service is available at: https://record-catch.service.gov.uk/sign-in We recommend saving a shortcut to the web service on your device’s home screen for ease of access. Guidance on how to do ","Record your catch Record your catch Create and submit catch records for all English and Welsh under 10 metre (U10m) flag vessels that fish in UK waters Important Notice – Catch Recording Update We are aware of ongoing technical issues affecting the Record Your Catch app, which may cause the following issues for you: Problems signing in to the app or accessing vessel lists Catch records appearing with a status of ‘SENDING’ and not reaching the system Submitted records not appearing in the list of trips Duplicate records being generated Inconsistent confirmation messages within the mobile application Some users have received confirmation messages such as “Your catch record has been submitted” or “Your catch record has been recorded,” even when the record has not been successfully received You can check whether your catch records have been submitted by looking at trips listed on the “Home” page of your account within the web service (see images below) Features such as adding preferences, editing trips and viewing previous trips are only available on the web service How to access the Catch Recording Web Service and view successfully submitted Catch Recordings If you encounter any of these issues, please take the following steps: Sign out of the mobile application using the icon in the top right corner Check whether your record has successfully submitted If the issue persists, please use an alternative method to submit your catch record The web service is available at:",Comms,0.16053353,0.06554502,Unclassified,REVIEW_LOW_SCORE
