Title,URL,Last Updated
Create a UK catch certificate,https://www.gov.uk/guidance/create-a-uk-catch-certificate,02-Jul-25
Do I need a marine licence?,https://www.gov.uk/guidance/do-i-need-a-marine-licence,06-Nov-25
EU IUU Regulation Changes 2026: Catch Certificate & other documentation updates,https://www.gov.uk/guidance/eu-iuu-regulation-2026-changes,30-Oct-25
Fisheries and Seafood Scheme,https://www.gov.uk/guidance/fisheries-and-seafood-scheme,11-Jun-25
Create a UK processing statement,https://www.gov.uk/guidance/create-a-uk-processing-statement,15-Apr-25
United Kingdom Single Issuing Authority (UKSIA),https://www.gov.uk/guidance/united-kingdom-single-issuing-authority-uksia,07-Nov-25
Make a marine licence application,https://www.gov.uk/guidance/make-a-marine-licence-application,28-Nov-24
Marine licensing: Information you may need to supply to support your marine licence application,https://www.gov.uk/guidance/marine-licensing-impact-assessments,27-Jan-25
Marine Protected Areas (MPAs),https://www.gov.uk/guidance/marine-protected-areas-mpas,13-Mar-23
Bluefin tuna in the UK,https://www.gov.uk/guidance/bluefin-tuna-in-the-uk,28-Mar-24
How to arrange a burial at sea in the UK marine area,https://www.gov.uk/guidance/how-to-get-a-licence-for-a-burial-at-sea-in-england,19-Feb-24
Understand your fishing vessel licence,https://www.gov.uk/guidance/understand-your-fishing-vessel-licence,17-Oct-25
Marine licensing: Definitions,https://www.gov.uk/guidance/marine-licensing-definitions,27-Jan-25
Exporting or moving fish from the UK,https://www.gov.uk/guidance/exporting-or-moving-fish-from-the-uk,11-Jun-25
Record your catch,https://www.gov.uk/guidance/record-your-catch,09-Oct-25
Contact MMO,https://www.gov.uk/guidance/contact-mmo,02-Jun-25
Explore marine plans,https://www.gov.uk/guidance/explore-marine-plans,28-Nov-24
Submitting Objections/Representations to Harbour Orders,https://www.gov.uk/guidance/submitting-objectionsrepresentations-to-harbour-orders,25-Sep-25
Bluefin tuna (BFT) commercial fishery within UK waters,https://www.gov.uk/guidance/bluefin-tuna-bft-commercial-fishery-within-uk-waters,13-May-25
